Location,Frequency,Name,Tone Mode,cToneFreq,rToneFreq,DTCS Code,DTCS Pol,Duplex,Offset,Mode,Tune Step,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
14,146.625,W4AVA,TSQL,107.2,107.2,023,NN,-,0.6,FM,5,"","WashingtonD.C.,U.S.Capital, VA - 4.7mi SW of 20009","","",""
15,145.47,W4WVP,TSQL,107.2,107.2,023,NN,-,0.6,FM,5,"","Arlington, VA - 4.7mi SW of 20009","","",""
16,444.55,K4AF,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","Arlington, VA - 4.7mi SW of 20009","","",""
17,444.75,K4DCA,TSQL,203.5,203.5,023,NN,+,5.0,FM,5,"","CrystalCity,ReaganAirport, VA - 4.8mi S of 20009","","",""
18,449.025,N3AUY,TSQL,156.7,156.7,023,NN,-,5.0,FM,5,"","SilverSpring, MD - 5.0mi N of 20009","","",""
19,147.225,WB3GXW,TSQL,156.7,156.7,023,NN,+,0.6,FM,5,"","SilverSpring, MD - 5.0mi N of 20009","","",""
20,449.025,N3AUY,TSQL,141.3,141.3,023,NN,-,419.465,FM,5,"","SilverSpring, MD - 5.0mi N of 20009","","",""
21,147.18,KA3LAO,TSQL,156.7,156.7,023,NN,+,0.6,FM,5,"","SilverSpring, MD - 5.0mi N of 20009","","",""
22,444.1625,W3AGB,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","Washington, DC - 5.1mi SSE of 20009","","",""
23,145.29,K3YGG,TSQL,156.7,156.7,023,NN,-,0.6,FM,5,"","Bethesda,NIH, MD - 5.5mi NW of 20009","","",""
24,146.61,K3GMR,TSQL,77.0,77.0,023,NN,-,0.6,FM,5,"","Bladensburg, MD - 5.7mi E of 20009","","",""
25,224.82,W4HFH,TSQL,107.2,107.2,023,NN,-,1.6,FM,5,"","Alexandria, VA - 6.7mi SSW of 20009","","",""
26,147.315,W4HFH,TSQL,107.2,107.2,023,NN,+,0.6,FM,5,"","Alexandria, VA - 6.7mi SSW of 20009","","",""
27,1282.6,W4HFH,TSQL,107.2,107.2,023,NN,-,12.0,FM,5,"","Alexandria, VA - 6.7mi SSW of 20009","","",""
28,53.13,W4HFH,TSQL,107.2,107.2,023,NN,-,1.0,FM,5,"","Alexandria, VA - 6.7mi SSW of 20009","","",""
29,444.6,W4HFH,TSQL,107.2,107.2,023,NN,+,5.0,FM,5,"","Alexandria, VA - 6.7mi SSW of 20009","","",""
30,145.49,W3EAX,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","CollegePark,UMD, MD - 6.8mi NE of 20009","","",""
31,145.37,W3ARL,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Adelphi, MD - 6.8mi NNE of 20009","","",""
32,447.375,K3WS,TSQL,123.0,123.0,023,NN,-,5.0,FM,5,"","CollegePark, MD - 7.2mi NE of 20009","","",""
33,1253.6,W4HFH,(None),88.5,88.5,023,NN,"",0.0,FM,5,"","Alexandria,InovaAlexandriaHospital, VA - 7.6mi SSW of 20009","","",""
34,442.06,W4HFH,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Alexandria,InovaAlexandriaHospital, VA - 7.7mi SSW of 20009","","",""
35,145.38,W4HFH,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Alexandria, VA - 7.7mi SSW of 20009","","",""
36,1284.6,W4HFH,(None),88.5,88.5,023,NN,-,12.0,FM,5,"","Alexandria,InovaAlexandriaHospital, VA - 7.7mi SSW of 20009","","",""
37,448.925,N3ST,TSQL,167.9,167.9,023,NN,-,5.0,FM,5,"","Suitland, MD - 7.8mi SE of 20009","","",""
38,146.655,K4US,TSQL,141.3,141.3,023,NN,-,0.6,FM,5,"","Alexandria, VA - 7.9mi S of 20009","","",""
39,927.6,W4HFH,TSQL,107.2,107.2,023,NN,-,25.0,FM,5,"","Alexandria, VA - 7.9mi S of 20009","","",""
40,447.375,K3WS,(None),88.5,88.5,023,NN,-,5.0,FM,5,"","BerwynHeights, MD - 8.5mi NE of 20009","","",""
41,145.23,K3ERA,TSQL,110.9,110.9,023,NN,-,0.6,FM,5,"","DistrictHeights, MD - 8.6mi SE of 20009","","",""
42,443.45,N3HF,TSQL,156.7,156.7,023,NN,+,5.0,FM,5,"","SilverSpring, MD - 8.7mi NNE of 20009","","",""
43,448.035,NV4FM,(None),88.5,88.5,023,NN,-,5.0,FM,5,"","TysonsCorner, VA - 9.7mi W of 20009","","",""
44,145.34,NV4FM,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","TysonsCorner, VA - 9.7mi W of 20009","","",""
45,1282.8,NV4FM,(None),88.5,88.5,023,NN,-,12.0,FM,5,"","TysonsCorner, VA - 9.7mi W of 20009","","",""
46,146.91,NV4FM,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","TysonsCorner, VA - 10.5mi W of 20009","","",""
47,447.025,NV4FM,TSQL,100.0,100.0,023,NN,-,5.0,FM,5,"","TysonsCorner, VA - 10.5mi W of 20009","","",""
48,146.835,WA3NAN,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Greenbelt, MD - 10.5mi NE of 20009","","",""
49,146.88,W3GMR,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Greenbelt, MD - 10.5mi NE of 20009","","",""
50,146.685,K4HTA,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Vienna, VA - 12.4mi W of 20009","","",""
51,224.94,K3ATV,TSQL,156.7,156.7,023,NN,-,1.6,FM,5,"","Rockville, MD - 13.0mi NNW of 20009","","",""
52,442.4875,N3JFW,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","Rockville, MD - 13.0mi NNW of 20009","","",""
53,146.955,KV3B,TSQL,88.5,88.5,023,NN,-,0.6,FM,5,"","Rockville, MD - 13.0mi NNW of 20009","","",""
54,443.9,WA3YOO,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Rockville, MD - 13.0mi NNW of 20009","","",""
55,448.525,KC3BFB,(None),88.5,88.5,023,NN,-,5.0,FM,5,"","FortWashington, MD - 14.7mi S of 20009","","",""
56,146.79,NV4FM,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Fairfax, VA - 15.4mi WSW of 20009","","",""
57,224.1,W4YHD,(None),88.5,88.5,023,NN,-,1.6,FM,5,"","Fairfax, VA - 15.4mi WSW of 20009","","",""
58,224.54,K3WX,TSQL,156.7,156.7,023,NN,-,1.6,FM,5,"","Ashton, MD - 15.8mi N of 20009","","",""
59,53.25,N3AGB,TSQL,100.0,100.0,023,NN,-,1.0,FM,5,"","Ashton, MD - 15.8mi N of 20009","","",""
60,147.0,K3WX,(None),88.5,88.5,023,NN,+,0.6,FM,5,"","Ashton, MD - 15.8mi N of 20009","","",""
61,147.0,K3WX,TSQL,156.7,156.7,023,NN,-,0.6,FM,5,"","Ashton, MD - 15.8mi N of 20009","","",""
62,443.15,K3WX,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","Ashton, MD - 15.8mi N of 20009","","",""
63,927.725,K3WX,TSQL,156.7,156.7,023,NN,-,25.0,FM,5,"","Ashton, MD - 15.8mi N of 20009","","",""
64,447.925,K3WS,TSQL,123.0,123.0,023,NN,-,5.0,FM,5,"","WestLaurel, MD - 16.0mi NE of 20009","","",""
65,442.5,W3LRC,TSQL,156.7,156.7,023,NN,+,5.0,FM,5,"","Laurel, MD - 16.0mi NE of 20009","","",""
66,444.7,WA3GPC,TSQL,167.9,167.9,023,NN,+,5.0,FM,5,"","Laurel, MD - 16.0mi NE of 20009","","",""
67,442.2375,K3UCB,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","Ashton, MD - 16.2mi N of 20009","","",""
68,444.65,N3LHD,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","UpperMarlboro, MD - 17.0mi SE of 20009","","",""
69,444.5,W3TOM,TSQL,127.3,127.3,023,NN,+,5.0,FM,5,"","Accokeek, MD - 17.4mi S of 20009","","",""
70,53.27,KV3B,TSQL,156.7,156.7,023,NN,-,1.0,FM,5,"","Gaithersburg, MD - 17.8mi NNW of 20009","","",""
71,448.675,WA3TOL,TSQL,100.0,100.0,023,NN,-,5.0,FM,5,"","Burke, VA - 18.1mi SW of 20009","","",""
72,147.15,W3SMR,TSQL,114.8,114.8,023,NN,+,0.6,FM,5,"","Brandywine, MD - 18.4mi SSE of 20009","","",""
73,443.6,WA3YUV,TSQL,103.5,103.5,023,NN,+,5.0,FM,5,"","Brandywine, MD - 18.4mi SSE of 20009","","",""
74,448.375,K4XY,(None),88.5,88.5,023,NN,-,5.0,FM,5,"","Fairfax,FairOaksHospital, VA - 18.6mi W of 20009","","",""
75,443.0,N2LEE,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","Reston, VA - 19.1mi W of 20009","","",""
76,449.475,K3CUJ,TSQL,156.7,156.7,023,NN,-,5.0,FM,5,"","Columbia, MD - 19.8mi NNE of 20009","","",""
77,447.075,N3ARN,TSQL,167.9,167.9,023,NN,-,5.0,FM,5,"","Waldorf, MD - 20.3mi SSE of 20009","","",""
78,147.105,W3VPR,TSQL,107.2,107.2,023,NN,+,0.6,FM,5,"","Davidsonville, MD - 20.6mi ESE of 20009","","",""
79,444.4,W3VPR,TSQL,107.2,107.2,023,NN,+,5.0,FM,5,"","Davidsonville, MD - 20.6mi ESE of 20009","","",""
80,223.88,W3VPR,TSQL,107.2,107.2,023,NN,-,1.6,FM,5,"","Davidsonville, MD - 20.6mi ESE of 20009","","",""
81,146.76,WA3DZD,TSQL,107.2,107.2,023,NN,-,0.6,FM,5,"","Jessup, MD - 21.2mi NE of 20009","","",""
82,444.85,K4IAD,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Woodbridge,PotomacMills, VA - 21.4mi SSW of 20009","","",""
83,444.2,KV3B,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Germantown, MD - 21.6mi NW of 20009","","",""
84,147.27,WA3KOK,TSQL,156.7,156.7,023,NN,+,0.6,FM,5,"","Germantown, MD - 21.6mi NW of 20009","","",""
85,147.34,"",(None),88.5,88.5,023,NN,+,0.6,FM,5,"","Centreville, VA - 21.8mi WSW of 20009","","",""
86,147.135,K3CUJ,TSQL,156.7,156.7,023,NN,+,0.6,FM,5,"","Columbia, MD - 21.8mi NNE of 20009","","",""
87,224.78,W4IY,(None),88.5,88.5,023,NN,-,1.6,FM,5,"","Woodbridge, VA - 22.1mi SW of 20009","","",""
88,147.24,W4IY,TSQL,107.2,107.2,023,NN,+,0.6,FM,5,"","Woodbridge, VA - 22.1mi SW of 20009","","",""
89,444.9,W4IY,TSQL,127.3,127.3,023,NN,+,5.0,FM,5,"","Woodbridge, VA - 22.1mi SW of 20009","","",""
90,147.33,K4IAD,TSQL,203.5,203.5,023,NN,+,0.6,FM,5,"","Chantilly,DullesAirport, VA - 22.2mi W of 20009","","",""
91,444.75,K4IAD,TSQL,100.0,100.0,023,NN,+,5.0,FM,5,"","Chantilly,DullesAirport, VA - 22.2mi W of 20009","","",""
92,145.31,W4DLS,TSQL,77.0,77.0,023,NN,-,0.6,FM,5,"","Chantilly,DullesAirport, VA - 22.2mi W of 20009","","",""
93,927.5375,W3YVV,TSQL,156.7,156.7,023,NN,-,25.0,FM,5,"","Dayton, MD - 22.3mi N of 20009","","",""
94,443.95,W3YVV,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Dayton, MD - 22.3mi N of 20009","","",""
95,147.21,W4CIA,TSQL,110.9,110.9,023,NN,+,0.6,FM,5,"","Dulles, VA - 22.3mi W of 20009","","",""
96,442.55,N3SCP,TSQL,107.2,107.2,023,NN,+,5.0,FM,5,"","Gambrills, MD - 22.4mi E of 20009","","",""
97,442.4,KP4IP,TSQL,100.0,100.0,023,NN,+,5.0,FM,5,"","Millersville, MD - 22.9mi E of 20009","","",""
98,449.125,W3CU,TSQL,107.2,107.2,023,NN,-,5.0,FM,5,"","Millersville, MD - 23.0mi E of 20009","","",""
99,224.56,W3VPR,TSQL,107.2,107.2,023,NN,-,1.6,FM,5,"","Millersville, MD - 23.0mi E of 20009","","",""
100,146.805,W3CU,TSQL,107.2,107.2,023,NN,-,0.6,FM,5,"","Millersville, MD - 23.0mi E of 20009","","",""
101,443.7875,W4ATN,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","Riva, MD - 24.2mi ESE of 20009","","",""
102,448.825,KQ4CI,TSQL,77.0,77.0,023,NN,-,5.0,FM,5,"","Ashburn, VA - 25.3mi WNW of 20009","","",""
103,53.61,NV4FM,TSQL,67.0,67.0,023,NN,-,1.0,FM,5,"","Ashburn, VA - 25.3mi WNW of 20009","","",""
104,442.3,KB3CMA,TSQL,107.2,107.2,023,NN,+,5.0,FM,5,"","Annapolis, MD - 25.6mi ESE of 20009","","",""
105,442.1375,WB6EFW,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","Ashburn, VA - 25.7mi WNW of 20009","","",""
106,443.5,K4GVT,TSQL,110.9,110.9,023,NN,+,5.0,FM,5,"","Manassas, VA - 26.3mi WSW of 20009","","",""
107,146.97,W4OVH,TSQL,100.0,100.0,023,NN,-,0.6,FM,5,"","Manassas, VA - 26.3mi WSW of 20009","","",""
108,442.2,W4OVH,TSQL,100.0,100.0,023,NN,+,5.0,FM,5,"","Manassas, VA - 26.3mi WSW of 20009","","",""
109,145.25,N3VNG,TSQL,146.2,146.2,023,NN,-,0.6,FM,5,"","Damascus, MD - 27.0mi NNW of 20009","","",""
110,442.2125,KB3LYL,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","Damascus,SmokehillBBQ, MD - 27.0mi NNW of 20009","","",""
111,443.7,KA3GRW,TSQL,179.9,179.9,023,NN,+,5.0,FM,5,"","LaPlata, MD - 27.1mi S of 20009","","",""
112,448.975,W4YP,TSQL,88.5,88.5,023,NN,-,5.0,FM,5,"","BullRun, VA - 27.7mi WSW of 20009","","",""
113,147.39,K3CUJ,TSQL,156.7,156.7,023,NN,+,0.6,FM,5,"","Cooksville, MD - 27.8mi N of 20009","","",""
114,442.6,N3MIR,TSQL,127.3,127.3,023,NN,+,5.0,FM,5,"","GlenBurnie, MD - 27.8mi NE of 20009","","",""
115,146.985,K3CAL,TSQL,156.7,156.7,023,NN,-,0.6,FM,5,"","Sunderland, MD - 29.2mi SE of 20009","","",""
116,145.39,W3ZO,TSQL,186.2,186.2,023,NN,-,0.6,FM,5,"","Hughesville, MD - 30.0mi SSE of 20009","","",""
117,442.1,WA4TXE,TSQL,77.0,77.0,023,NN,+,5.0,FM,5,"","Leesburg, VA - 31.4mi WNW of 20009","","",""
118,146.7,WA4TXE,TSQL,77.0,77.0,023,NN,-,0.6,FM,5,"","Leesburg, VA - 31.4mi WNW of 20009","","",""
119,147.285,K3PZN,(None),88.5,88.5,023,NN,+,0.6,FM,5,"","Sykesville, MD - 31.6mi N of 20009","","",""
120,147.075,W3VPR,TSQL,107.2,107.2,023,NN,+,0.6,FM,5,"","GlenBurnie, MD - 31.7mi NE of 20009","","",""
121,145.45,N4USI,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Haymarket, VA - 33.1mi WSW of 20009","","",""
122,444.1625,W3AGB,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","DistrictofColumbia, VA - 33.1mi WSW of 20009","","",""
123,442.4125,N4USI,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Haymarket, VA - 33.1mi WSW of 20009","","",""
124,145.13,N3KL,TSQL,107.2,107.2,023,NN,-,0.6,FM,5,"","Haymarket, VA - 33.1mi WSW of 20009","","",""
125,448.325,K8GP,TSQL,77.0,77.0,023,NN,-,5.0,FM,5,"","Haymarket, VA - 33.1mi WSW of 20009","","",""
126,443.1875,K3OCM,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","CharlotteHall, MD - 33.4mi SSE of 20009","","",""
127,224.4,W4BRM,TSQL,77.0,77.0,023,NN,-,1.6,FM,5,"","Haymarket,BullRunMountain, VA - 33.6mi W of 20009","","",""
128,927.625,W4BRM,TSQL,77.0,77.0,023,NN,-,25.0,FM,5,"","Haymarket,BullRunMountain, VA - 33.6mi W of 20009","","",""
129,53.49,W4BRM,TSQL,77.0,77.0,023,NN,-,1.0,FM,5,"","Haymarket,BullRunMountain, VA - 33.6mi W of 20009","","",""
130,448.225,W4BRM,TSQL,77.0,77.0,023,NN,-,5.0,FM,5,"","Haymarket,BullRunMountain, VA - 33.6mi W of 20009","","",""
131,449.675,N3ST,TSQL,167.9,167.9,023,NN,-,5.0,FM,5,"","Baltimore, MD - 34.3mi NE of 20009","","",""
132,442.25,WA3KOK,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Baltimore, MD - 34.3mi NE of 20009","","",""
133,447.525,N3MCQ,(None),88.5,88.5,023,NN,-,5.0,FM,5,"","Baltimore, MD - 34.3mi NE of 20009","","",""
134,147.03,WB3DZO,(None),88.5,88.5,023,NN,+,0.6,FM,5,"","Baltimore, MD - 34.3mi NE of 20009","","",""
135,449.575,W3PGA,TSQL,123.0,123.0,023,NN,-,5.0,FM,5,"","Baltimore, MD - 34.3mi NE of 20009","","",""
136,448.275,K3CUJ,TSQL,156.7,156.7,023,NN,-,5.0,FM,5,"","Baltimore, MD - 34.3mi NE of 20009","","",""
137,443.55,K3FBI,TSQL,167.9,167.9,023,NN,+,5.0,FM,5,"","Quantico, VA - 34.7mi SW of 20009","","",""
138,147.345,K3FBI,TSQL,167.9,167.9,023,NN,+,0.6,FM,5,"","Quantico, VA - 34.7mi SW of 20009","","",""
139,447.125,WX3SMD,TSQL,131.8,131.8,023,NN,-,5.0,FM,5,"","GoldenBeach, MD - 35.3mi SSE of 20009","","",""
140,447.775,WA3KOK,TSQL,67.0,67.0,023,NN,-,5.0,FM,5,"","Antioch,BullRunMountain, VA - 35.5mi W of 20009","","",""
141,1286.1,N3KL,(None),88.5,88.5,023,NN,-,12.0,FM,5,"","Antioch,BullRunMountain, VA - 35.5mi W of 20009","","",""
142,145.35,N3NO,TSQL,156.7,156.7,023,NN,-,0.6,FM,5,"","PrinceFrederick,Barstow, MD - 35.9mi SE of 20009","","",""
143,444.95,K3CAL,TSQL,156.7,156.7,023,NN,+,5.0,FM,5,"","PrinceFrederick, MD - 35.9mi SE of 20009","","",""
144,223.9,W1JD,(None),88.5,88.5,023,NN,-,1.6,FM,5,"","Mechanicsville, MD - 36.5mi SSE of 20009","","",""
145,147.345,N3HIA,TSQL,127.3,127.3,023,NN,+,0.6,FM,5,"","Dundalk, MD - 36.9mi NE of 20009","","",""
146,29.68,KA4DCS,TSQL,146.2,146.2,023,NN,-,0.1,FM,5,"","Middleburg, VA - 37.7mi W of 20009","","",""
147,448.675,KC3ANJ,TSQL,91.5,91.5,023,NN,-,5.0,FM,5,"","Dundalk,KeyBridge, MD - 37.8mi NE of 20009","","",""
148,224.68,KS3L,(None),88.5,88.5,023,NN,-,1.6,FM,5,"","Baltimore, MD - 38.2mi NE of 20009","","",""
149,442.8,N3ITA,TSQL,79.7,79.7,023,NN,+,5.0,FM,5,"","Frederick, MD - 39.4mi NNW of 20009","","",""
150,145.27,WW4VA,TSQL,79.7,79.7,023,NN,-,0.6,FM,5,"","StaffordCounty, VA - 39.5mi SSW of 20009","","",""
151,147.06,K3MAD,TSQL,146.2,146.2,023,NN,+,0.6,FM,5,"","Frederick, MD - 39.7mi NNW of 20009","","",""
152,224.2,K3MAD,TSQL,123.0,123.0,023,NN,-,1.6,FM,5,"","Frederick, MD - 39.7mi NNW of 20009","","",""
153,448.425,K3ERM,TSQL,100.0,100.0,023,NN,-,5.0,FM,5,"","Frederick,GambrilMountain, MD - 39.7mi NNW of 20009","","",""
154,53.75,N3IGM,TSQL,100.0,100.0,023,NN,-,1.0,FM,5,"","Frederick, MD - 39.7mi NNW of 20009","","",""
155,444.1,N3ST,TSQL,167.9,167.9,023,NN,+,5.0,FM,5,"","Frederick, MD - 39.7mi NNW of 20009","","",""
156,146.73,W3ICF,TSQL,141.3,141.3,023,NN,-,0.6,FM,5,"","Frederick, MD - 39.7mi NNW of 20009","","",""
157,448.125,K3MAD,TSQL,123.0,123.0,023,NN,-,5.0,FM,5,"","Frederick, MD - 39.7mi NNW of 20009","","",""
158,146.64,K3ERM,TSQL,156.7,156.7,023,NN,-,0.6,FM,5,"","Frederick, MD - 39.7mi NNW of 20009","","",""
159,1298.4,WS4VA,(None),88.5,88.5,023,NN,-,12.0,FM,5,"","Stafford, VA - 39.8mi SSW of 20009","","",""
160,444.35,N3JDR,TSQL,100.0,100.0,023,NN,+,5.0,FM,5,"","Frederick,BraddockMountain, MD - 39.8mi NNW of 20009","","",""
161,147.375,WW4VA,TSQL,79.7,79.7,023,NN,+,0.6,FM,5,"","Stafford, VA - 39.8mi SSW of 20009","","",""
162,147.555,K1CV,TSQL,123.0,123.0,023,NN,"",0.0,FM,5,"","Garrisonville, VA - 40.0mi SW of 20009","","",""
163,145.14,W3DHS,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Towson, MD - 40.6mi NE of 20009","","",""
164,442.1125,W3DHS,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Towson, MD - 40.6mi NE of 20009","","",""
165,146.67,W3FT,TSQL,107.2,107.2,023,NN,-,0.6,FM,5,"","Towson, MD - 40.6mi NE of 20009","","",""
166,449.625,W3FT,TSQL,107.2,107.2,023,NN,-,5.0,FM,5,"","Towson, MD - 40.6mi NE of 20009","","",""
167,449.275,N3CDY,TSQL,107.2,107.2,023,NN,-,5.0,FM,5,"","Towson, MD - 40.6mi NE of 20009","","",""
168,443.3,K3LMS,TSQL,100.0,100.0,023,NN,+,5.0,FM,5,"","Jefferson, MD - 40.7mi NW of 20009","","",""
169,443.85,K3OCM,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","Towson, MD - 40.8mi NE of 20009","","",""
170,147.24,W3PGA,(None),88.5,88.5,023,NN,+,0.6,FM,5,"","Baltimore,KenwoodHighSchool, MD - 41.6mi NE of 20009","","",""
171,147.165,W4VA,TSQL,167.9,167.9,023,NN,+,0.6,FM,5,"","Warrenton, VA - 43.3mi WSW of 20009","","",""
172,442.25,W4VA,TSQL,167.9,167.9,023,NN,+,5.0,FM,5,"","Warrenton, VA - 43.3mi WSW of 20009","","",""
173,145.19,K3NXU,TSQL,110.9,110.9,023,NN,-,0.6,FM,5,"","Cockeysville, MD - 44.2mi NNE of 20009","","",""
174,224.34,K8GP,TSQL,77.0,77.0,023,NN,-,1.6,FM,5,"","Bluemont, VA - 44.8mi WNW of 20009","","",""
175,53.37,K8GP,TSQL,77.0,77.0,023,NN,-,1.0,FM,5,"","Bluemont, VA - 44.8mi WNW of 20009","","",""
176,449.925,WA4TSC,TSQL,146.2,146.2,023,NN,-,5.0,FM,5,"","Bluemont, VA - 44.8mi WNW of 20009","","",""
177,145.41,K3PZN,TSQL,114.8,114.8,023,NN,-,0.6,FM,5,"","Westminster, MD - 45.4mi N of 20009","","",""
178,53.09,K3PZN,TSQL,107.2,107.2,023,NN,-,1.0,FM,5,"","Westminster, MD - 45.4mi N of 20009","","",""
179,449.875,K3PZN,TSQL,127.3,127.3,023,NN,-,5.0,FM,5,"","Westminster, MD - 45.4mi N of 20009","","",""
180,147.3,WA4TSC,TSQL,146.2,146.2,023,NN,+,0.6,FM,5,"","Bluemont,BlueRidge, VA - 45.6mi WNW of 20009","","",""
181,448.475,K4GVA,TSQL,79.7,79.7,023,NN,-,5.0,FM,5,"","KingGeorge, VA - 45.7mi S of 20009","","",""
182,146.745,W4KGC,TSQL,107.2,107.2,023,NN,-,0.6,FM,5,"","KingGeorge,HarryNiceBridge, VA - 45.7mi S of 20009","","",""
183,145.32,WS4VA,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Stafford, VA - 46.0mi SSW of 20009","","",""
184,447.275,WS4VA,(None),88.5,88.5,023,NN,-,5.0,FM,5,"","Stafford, VA - 46.0mi SSW of 20009","","",""
185,443.65,K8GP,TSQL,77.0,77.0,023,NN,+,5.0,FM,5,"","Bluemont,MountWeather, VA - 46.3mi WNW of 20009","","",""
186,147.195,N3PX,(None),88.5,88.5,023,NN,+,0.6,FM,5,"","Hollywood, MD - 46.9mi SSE of 20009","","",""
187,442.85,AE4ML,TSQL,107.2,107.2,023,NN,+,5.0,FM,5,"","Fredericksburg, VA - 48.3mi SSW of 20009","","",""
188,927.0375,W1ZFB,TSQL,91.5,91.5,023,NN,-,25.0,FM,5,"","Fredericksburg,FourMileFork, VA - 48.3mi SSW of 20009","","",""
189,51.86,W1ZFB,TSQL,127.3,127.3,023,NN,-,0.5,FM,5,"","Fredericksburg, VA - 48.3mi SSW of 20009","","",""
190,444.8,KB3YBH,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Frederick,GambrillMountain, MD - 49.1mi NNW of 20009","","",""
191,146.85,WA4TXE,TSQL,77.0,77.0,023,NN,-,0.6,FM,5,"","CharlesTown, WV - 51.0mi WNW of 20009","","",""
192,927.5875,KD8DWU,TSQL,123.0,123.0,023,NN,-,25.0,FM,5,"","CharlesTown, WV - 51.2mi WNW of 20009","","",""
193,147.015,K4TS,(None),88.5,88.5,023,NN,+,0.6,FM,5,"","Fredericksburg, VA - 52.2mi SSW of 20009","","",""
194,145.17,KA3LAO,TSQL,88.5,88.5,023,NN,-,0.6,FM,5,"","Thurmont, MD - 52.6mi NNW of 20009","","",""
195,448.025,K3KMA,TSQL,103.5,103.5,023,NN,-,5.0,FM,5,"","Thurmont, MD - 52.6mi NNW of 20009","","",""
196,147.195,N3EJT,TSQL,179.9,179.9,023,NN,+,0.6,FM,5,"","Thurmont, MD - 52.6mi NNW of 20009","","",""
