Location,Frequency,Name,Tone Mode,cToneFreq,rToneFreq,DTCS Code,DTCS Pol,Duplex,Offset,Mode,Tune Step,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,447.175,N3ADV,TSQL,156.7,156.7,023,NN,-,5.0,FM,5,"","Washington, DC - 0.8mi S of 20009","","",""
1,145.11,K4DCA,TSQL,88.5,88.5,023,NN,-,0.6,FM,5,"","Washington, DC - 0.8mi S of 20009","","",""
2,447.675,K3WS,TSQL,123.0,123.0,023,NN,-,5.0,FM,5,"","Washington,UnionStation, DC - 0.8mi S of 20009","","",""
3,449.425,W3HAC,(None),88.5,88.5,023,NN,-,5.0,FM,5,"","Washington, DC - 1.0mi N of 20009","","",""
4,147.36,W3AGB,(None),88.5,88.5,023,NN,+,0.6,FM,5,"","Washington, DC - 1.7mi S of 20009","","",""
5,145.19,W3DOS,TSQL,151.4,151.4,023,NN,-,0.6,FM,5,"","Washington,HarryS.TrumanBuilding, DC - 1.7mi S of 20009","","",""
6,448.875,KC3VO,(None),88.5,88.5,023,NN,-,5.0,FM,5,"","Washington, DC - 1.7mi S of 20009","","",""
7,145.43,K3MRC,TSQL,114.8,114.8,023,NN,-,0.6,FM,5,"","Washington,D.C., DC - 1.7mi S of 20009","","",""
8,1283.1,W3AGB,(None),88.5,88.5,023,NN,-,12.0,FM,5,"","Washington, DC - 1.7mi S of 20009","","",""
9,147.045,K3VOA,TSQL,77.0,77.0,023,NN,+,0.6,FM,5,"","Washington,Landmark		WilburJ.CohenBuilding, DC - 2.5mi SSE of 20009","","",""
10,448.575,K3VOA,TSQL,77.0,77.0,023,NN,-,5.0,FM,5,"","Washington,WilburJ.CohenBuilding, DC - 2.5mi SSE of 20009","","",""
11,449.975,WA3KOK,TSQL,107.2,107.2,023,NN,-,5.0,FM,5,"","Washington,NationsCapital, DC - 3.2mi WNW of 20009","","",""
12,443.2,AB4YP,TSQL,114.8,114.8,023,NN,+,5.0,FM,5,"","Arlington, VA - 4.7mi SW of 20009","","",""
13,145.15,WB4MJF,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Arlington, VA - 4.7mi SW of 20009","","",""
