Location,Frequency,Name,Tone Mode,cToneFreq,rToneFreq,DTCS Code,DTCS Pol,Duplex,Offset,Mode,Tune Step,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
58,147.315,WA2CAM,TSQL,141.3,141.3,023,NN,+,0.6,FM,5,"","Wethersfield, NY - 47.0mi SW of 14618","","",""
59,146.64,K2XZ,TSQL,88.5,88.5,023,NN,-,0.6,FM,5,"","Wethersfield, NY - 47.0mi SW of 14618","","",""
60,145.17,K2ISO,TSQL,110.9,110.9,023,NN,-,0.6,FM,5,"","Wethersfield, NY - 47.0mi SW of 14618","","",""
61,147.105,N2FQN,TSQL,141.3,141.3,023,NN,+,0.6,FM,5,"","Wethersfield, NY - 47.3mi SW of 14618","","",""
62,147.045,KC2FSW,TSQL,110.9,110.9,023,NN,+,0.6,FM,5,"","Arkport, NY - 50.3mi S of 14618","","",""
63,147.0,W2QYT,TSQL,71.9,71.9,023,NN,+,0.6,FM,5,"","Auburn, NY - 51.6mi SE of 14618","","",""
64,145.23,W2QYT,TSQL,103.5,103.5,023,NN,-,0.6,FM,5,"","Auburn, NY - 51.6mi SE of 14618","","",""
65,53.05,K2INH,TSQL,71.9,71.9,023,NN,-,1.0,FM,5,"","Auburn, NY - 51.6mi SE of 14618","","",""
66,147.27,K2RSY,TSQL,71.9,71.9,023,NN,+,0.6,FM,5,"","Auburn, NY - 51.6mi SE of 14618","","",""
67,444.4,KC2PES,TSQL,107.2,107.2,023,NN,+,5.0,FM,5,"","Arcade, NY - 54.8mi SW of 14618","","",""
68,51.62,WB2JPQ,TSQL,88.5,88.5,023,NN,-,1.0,FM,5,"","Delevan, NY - 63.8mi SW of 14618","","",""
69,444.175,K2XZ,TSQL,88.5,88.5,023,NN,+,5.0,FM,5,"","Delevan, NY - 63.8mi SW of 14618","","",""
70,145.39,K2XZ,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Delevan, NY - 63.8mi SW of 14618","","",""
71,224.2,WB2JPQ,TSQL,88.5,88.5,023,NN,-,1.6,FM,5,"","Delevan, NY - 63.8mi SW of 14618","","",""
