Frequency,Tone,Location,ST/PR,Call,Use,Dist,"  
  "
  146.895-,151.4,MountFreedom,NJ,WS2Q,OPEN,31.7,""
  146.910-,127.3,TomsRiver,NJ,W2DOR,OPEN,49.6,""
  146.910-,114.8,Yonkers,NY,K2JQB,OPEN,19.8,""
  146.925-,67.0,Milford,CT,KB1CBD,OPEN,65.1,""
  146.925-,141.3,Vernon,NJ,W2VER,OPEN,44.9,""
  146.925-,131.8,Willingboro,NJ,WB2YGO,OPEN,62.8,""
  146.940-,151.4,GreenBrook,NJ,K2ETS,OPEN,25.1,""
  146.940-,136.5,Holtsville,NY,WB2MOT,OPEN,51.6,""
  146.940-,136.5,Setauket,NY,K2TKE,OPEN,50.3,""
  146.940-,162.2,YorktownHeights,NY,WA2TOW,OPEN,44.1,""
  146.955-,141.3,Alpine,NJ,K2FJ,OPEN,21.1,""
  146.955-,103.5,Lakewood,NJ,W2RAP,OPEN,40.1,""
  146.955-,103.5,Lakewood,NJ,W2RAP,OPEN,40.1,""
  146.970-,"",Feasterville,PA,K3ZFD,OPEN,63.3,""
  146.985-,131.8,Roxbury,NJ,K2GG,OPEN,36.8,""
  146.985-,141.3,Shelton,CT,W1VAR,OPEN,66.0,""
  147.000-,136.5,Manhattan,NY,WB2ZSE,OPEN,5.0,""
  147.015+,151.4,GlenGardner,NJ,WB2NQV,OPEN,48.1,""
  147.015+,114.8,Yorktown,NY,WB2IXR,OPEN,45.4,""
  147.030+,100.0,Bethel,CT,KA1KD,OPEN,58.3,""
  147.030+,151.4,Boonton,NJ,W2TW,OPEN,27.4,""
  147.030+,136.5,CentralIslip,NY,WB2ROL,OPEN,43.2,""
  147.030+,"",Hauppauge,NY,WD2NY,OPEN,44.6,""
  147.045+,136.5,Setauket,NY,K2YBW,OPEN,50.3,""
  147.045+,67.0,TintonFalls,NJ,W2GSA,OPEN,27.3,""
  147.060+,114.8,Valhalla,NY,WB2ZII,OPEN,31.4,""
  147.075+,136.5,DixHills,NY,W2RGM,OPEN,36.6,""
  147.075+,71.9,Robbinsville,NJ,KX2D,OPEN,44.3,""
  147.090+,114.8,Flushing,NY,K2HAM,CLOSED,12.5,""
  147.105+,114.8,Harriman,NY,N2JTI,OPEN,45.6,""
  147.105+,123.0,Lawrenceville,NJ,W2MER,OPEN,45.4,""
  147.120+,162.2,Parlin,NJ,W2CJA,OPEN,21.9,""
  147.135+,141.3,Butler,NJ,WB2FTX,OPEN,29.7,""
  147.135+,151.4,Cherryville,NJ,WJ2DX,OPEN,29.0,""
  147.135+,136.5,EastMeadow,NY,WB2CYN,OPEN,23.8,""
  147.135+,151.4,Hillsborough,NJ,K2NJ,OPEN,34.8,""
  147.150+,136.5,Manhattan,NY,N2JDW,OPEN,5.0,""
  147.150+,127.3,Westampton,NJ,KC2QVT,OPEN,61.4,""
  147.165+,114.8,Orangetown,NY,WB2RRA,OPEN,30.4,""
  147.180+,156.7,NorthCaldwell,NJ,W2JT,OPEN,19.5,""
  147.195+,127.3,Brooklyn,NY,KB2NGU,OPEN,3.7,""
  147.210+,136.5,Huntington,NY,WR2ABA,OPEN,33.8,""
  147.210+,151.4,Newton,NJ,W2LV,OPEN,47.8,""
  147.210+,88.5,NorthArlington,NJ,K2DCG,OPEN,11.3,""
  147.225+,77.0,Milford,CT,KA1FAI,OPEN,63.2,""
  147.225+,141.3,Newark,NJ,K2MFF,OPEN,10.2,""
  147.240+,94.8,Manhattan,NY,K2NYR,OPEN,5.0,""
  147.255+,141.3,MurrayHill,NJ,W2LI,OPEN,20.4,""
  147.255+,136.5,NorthBabylon,NY,KB2UR,OPEN,27.0,""
  147.270+,141.3,Manhattan,NY,W2ABC,OPEN,5.9,""
  147.285+,141.3,Martinsville,NJ,W2NJR,OPEN,29.2,""
  147.285+,97.4,Melville,NY,KB2AKH,OPEN,32.5,""
  147.285+,"",Newark,NJ,WB2MFC,OPEN,10.2,""
  147.300+,146.2,Brooklyn,NY,KB2NGU,OPEN,2.7,""
  147.300+,100.0,Danbury,CT,W1QI,OPEN,55.9,""
  147.300+,131.8,FairlessHills,PA,W3BXW,OPEN,55.4,""
  147.300+,151.4,Newton,NJ,W2LV,OPEN,47.8,""
  147.300+,151.4,Newton,NJ,W2LV,OPEN,47.8,""
  147.315+,118.8,StatenIsland,NY,KC2GOW,OPEN,9.0,""
  147.330+,151.4,Newton,NJ,W2LV,OPEN,47.8,""
  147.330+,136.5,Plainview,NY,WA2UZE,OPEN,29.5,""
  147.345+,100.0,Islip,NY,K2IRG,OPEN,42.1,""
  147.360+,107.2,Manhattan,NY,WA2ZLB,OPEN,7.3,""
  147.375+,151.4,Cherryville,NJ,WB2NQV,OPEN,47.5,""
  147.375+,136.5,Selden,NY,W2KPQ,OPEN,52.6,""
  147.390+,151.4,Brewster,NY,WA2ZPX,CLOSED,44.0,""
  147.505s,123.0,Springfield,NJ,WA2BAT,OPEN,16.5,""
  147.535s,123.0,Nanuet,NY,KC2EHA,OPEN,29.9,""
